championName,cluster,AD Carry,Resilience,Support,AP Carry,Vulnerability,Tower Pushing
Aatrox,1,0.8846076678281848,1.0833314826660476,-2.159255233890924,0.4199494716033474,0.8440568720219777,1.2035231252252754
Ahri,5,-0.011154674018546806,-0.8875066824942066,1.4671050015265732,1.686212312372916,-0.3471939077097894,-0.20016264186459354
Akali,5,0.2716039151129494,-1.2301704988953113,1.0187574888704112,2.5632616934644865,0.31203383402163865,-0.6093232646068842
Akshan,3,1.8477946515022485,-1.9693769106168793,-1.091553682375293,-0.5076131804850997,-0.1709824390080099,0.052051533429365617
Alistar,0,-4.2161437513149425,1.940966215470464,1.744915609769815,-1.2886325395003733,0.9606457857463995,0.975378028602355
Amumu,6,0.5541141423922624,3.555687317075517,1.3276023256457787,0.7266927718883044,-1.574620831914598,-0.6587264774914472
Anivia,5,-0.11293667059570824,-0.4830344002857271,1.489095308916983,2.3594037972001116,-0.19088386980845112,0.723323797547935
Annie,5,-0.802411983349507,-1.984048468010899,2.0159771495065604,1.8321362041078246,0.1212750082996738,-0.22889898085285407
Aphelios,3,1.6366160597965158,-2.1147475109169127,-1.4539192942629051,-1.3124499828574936,-0.5516307402640876,0.1257600025136018
Ashe,3,0.9966225300054644,-1.7048643548803963,-0.6688173441017597,-1.306841107983009,-0.39834670641911857,0.22518303389817515
AurelionSol,5,-0.0014742009973336028,-1.4498726317447577,1.7192338931248397,2.6851806044855535,-0.19737520881875092,-0.5565408368961065
Azir,5,0.11621834574091407,-1.5880379661713837,1.5002728383874129,2.6327724618851684,-0.47063759494792284,0.4013862501499062
Bard,0,-3.941520241868413,0.6764236759206224,2.169781405551772,-1.4807527016462503,0.6755560738618573,0.5625671884603385
Belveth,6,2.773701730951592,2.6058689253253804,-0.3149487777736824,-1.7115966799186988,-1.4774491193216168,-0.5120628743853839
Blitzcrank,0,-4.18354217076099,0.9447794949710608,1.385597287939417,-0.953389381230329,0.9262673473678468,0.48699575459743244
Brand,6,1.085803243658984,2.6489145827161495,2.1705212206826627,1.1801526293388926,-1.570923475502765,-1.4167786524984685
Braum,0,-4.683801056909398,0.9972013507921378,1.8375203404747724,-1.511149677493063,0.7889802379770086,1.005586074240258
Briar,6,2.871448677374329,3.171680217576082,-0.3603770231956393,-0.8767798542056799,-0.8559161505756607,-1.0620225429618786
Caitlyn,3,1.2847994267239373,-2.176465712044262,-1.4312889169315026,-1.6876957453697674,-0.44964713033120585,0.391131495631607
Camille,1,0.49918875162753834,1.10555023150608,-1.749793942971033,-0.14992590419205276,1.102419691555857,0.7048441232566394
Cassiopeia,5,0.07932334179950944,-0.5639654857831269,1.3898947773207495,2.6078870541542707,0.16938801254788086,0.2635834549929956
Chogath,5,1.0807525330334402,0.9193587650099835,1.258000360506009,2.061034769218467,-0.13608698311127287,0.862815306981942
Corki,5,0.3472281840383793,-1.7749790254177966,0.8668344383760179,2.1541515919967473,0.015115212934486323,-0.08299791576147084
Darius,1,0.7780215540039782,0.880934168827731,-2.4619630711138054,-0.2664424720936782,1.0801180970707362,0.8316317564659265
Diana,5,0.5162668839190878,-1.3104858114003064,1.152486266140986,2.2836533036631446,0.16099762905299062,-0.09008303889731753
DrMundo,1,1.0997366676835396,1.9219999520105278,-1.1751399583647792,2.12378067925499,0.6292955574992236,2.061702772410126
Draven,3,1.9688026489709434,-2.0650510426763837,-1.9861262793740344,-1.8812453491690992,0.0844175469590723,-0.1119087909712018
Ekko,5,0.6833912960225644,-0.7910599709537817,1.0668834832871208,2.1473985871346057,0.026128889615615655,0.24462165164024624
Elise,6,0.7070966066923787,2.4844827639784377,1.8987355071521004,0.6638589385314595,-1.6112210407302012,-1.4077032063698103
Evelynn,6,1.1543980381656271,2.294081599543813,1.7673979921013818,1.489808835551076,-2.0910732273194763,-2.027482937364949
Ezreal,3,1.296900551714115,-2.1836409935737775,-0.6704181370832134,-0.5503114468764936,-0.49971077809491776,0.11144474314346854
FiddleSticks,6,0.3109803149770396,3.219037411481688,2.3921421458678305,1.1601823543772356,-1.6949500475571857,-1.2687360435611676
Fiora,1,0.9762279719115251,0.8554613752411071,-2.4685483864040587,-0.7665562042499291,0.8644741741486035,1.1771987656943812
Fizz,5,0.30905309886570304,-1.7033684876615742,1.075131294660693,2.0532449963772397,0.26453550773560414,-0.4277410184368007
Galio,5,-0.9614236458020098,-0.638676804477066,1.8149954427061004,2.378484454683096,-0.023129708379470572,0.5838336390983542
Gangplank,1,0.8598330100701848,0.17809225108432317,-2.550150700045302,0.23290870476248893,0.5595824831090312,0.255021728989857
Garen,1,1.0628412322530019,0.718780756055387,-2.4161573961736877,-0.11467466318126654,0.7959304540221042,1.3479183568258384
Gnar,1,0.4844705141073378,0.6401075038736036,-1.5335150466738288,0.5979207740756345,0.7193315328033811,1.1898662506378581
Gragas,5,0.36973245733716587,0.055659632978119544,1.1025335385703443,2.494136932648526,-0.08349223621469508,0.8562467237300193
Graves,6,2.7605309282997204,2.084036863079499,-0.5229516417640526,-2.3977458447391395,-1.544472109064883,-0.8325392922279288
Gwen,5,1.4727663907383928,0.032772738960402066,0.6177424140393656,2.000102252138251,-0.43206922311100304,0.797488967126923
Hecarim,6,2.5772965908276837,3.523485133410677,-0.3621400232831429,-0.6694477393623489,-1.2544370769581588,-0.7067577557513024
Heimerdinger,5,-0.5660243824308824,-1.360928405184836,1.4145894716744367,2.4880427632531372,-0.4926418870806511,0.13016300908301687
Hwei,5,-0.931253937606108,-1.8115410444310034,1.786205219395196,2.1394711350834212,-0.2830723903830317,0.06443417332065725
Illaoi,1,1.6016896427161758,0.9637384451456137,-2.860702313727053,0.19856726367834238,0.9381360160212804,1.7597752880869626
Irelia,1,0.9832525000035094,0.5845837092762366,-1.9053386568723534,0.9990144736664114,1.08061701867849,0.9897253792518039
Ivern,0,-2.8521096160613855,1.2708027535383997,1.9591535341173947,-1.508299242307015,-1.5815036323263103,-0.25748458604798846
Janna,0,-5.3907283659924214,-0.028270994353706235,2.5855142534932885,-2.010401098177037,0.15443944885322447,0.4808873792709579
JarvanIV,6,1.800023662178502,3.0365032649840216,0.1287292743957992,-1.9184722609295966,-1.2749503184873023,-0.15056951667233445
Jax,6,1.9665403080487072,2.53081150608211,0.2732227601774739,-0.37865277178742124,-1.5392521374285242,-0.6753841006266521
Jayce,3,1.5889035950892472,-2.1717119694737526,-0.5901988057815322,0.13567823865322226,-0.09744701536227039,0.7186886001029659
Jhin,3,1.225333979501646,-2.356724833571115,-1.1677905548299385,-1.5312049610086231,-0.3131407555132563,0.004355342524319138
Jinx,3,1.472736379449632,-2.138187018450133,-1.3631411934680115,-1.6579499204309287,-0.4574209034953637,0.23748816551178376
KSante,1,0.27477456737190825,1.0814435063815173,-1.2978150302760532,0.7636995354735348,0.8557244480615148,1.6909542176871273
Kaisa,3,1.291027102551,-2.335100290589347,-0.5530711766301863,-0.33412205495346614,-0.4026047876746759,-0.2004664975708761
Kalista,3,1.6403666555914804,-1.6423949161240652,-0.7429221087025175,-0.9082243216491409,-0.243032239098256,-0.12414598867654339
Karma,0,-4.736478705066434,-0.1575773031794975,2.557910398832434,-0.6022701240143526,0.484814371603336,0.14662119221066414
Karthus,6,1.4709105604673254,2.89805378176209,2.317366854580839,2.119205992425771,-1.411292854496436,-1.7563434215774525
Kassadin,5,0.8537621396600469,-0.6648752658174291,0.8716417288793656,2.5793474782974197,0.17115510282537166,0.1022951752574445
Katarina,5,0.5005225572804975,-1.3719361038128703,1.1020782402202396,2.6425734357966286,0.5680075791345848,-1.0020706371962496
Kayle,4,-1.9549444942385532,-0.8057775371553806,-1.7054980832922335,1.3227511415971658,-0.8587617293668163,0.12305201282990616
Kayn,6,2.6068031395748976,2.861437870917285,-0.788527617381026,-1.6788333437328942,-1.1917235033998874,-0.9182774125541541
Kennen,5,-0.022131081845430556,-1.3770920704288012,1.0592005017377428,2.3554550687410143,-0.16412990432307328,0.12278466668442295
Khazix,6,2.4536235245816855,2.615677381959547,-0.5469359589871022,-1.925453287194587,-1.358032688720235,-1.4049336645980202
Kindred,6,2.26350519141219,2.2312686541349804,-0.022226034634838066,-2.0492964683876744,-1.3677354873783734,-0.8983348733198946
Kled,1,1.109160579837196,0.8923694166703924,-2.6205263362560105,-0.1831186660882473,1.1445205660855493,1.2592007460529975
KogMaw,4,-1.9079109639011125,-0.7891594695219967,-1.6076895830619977,1.0382932241397005,-0.4630093866548855,-0.7298584766882067
Leblanc,5,-0.28554400594038615,-1.520812897045165,1.4124973230102,1.9897465332864024,0.10412697960682371,-0.3491446150287767
LeeSin,6,1.5580108231743954,3.121138775188918,0.6754313964421162,-1.5473059166899998,-0.7108666923174368,-0.43245356327517215
Leona,0,-4.113303023531888,1.081406099214649,1.609467267300535,-1.2718133773312716,0.9465733464812064,0.8567784582491309
Lillia,6,1.619952271070752,3.664425869032266,1.7633425501447093,1.3085854278950673,-1.2625307123838536,-1.100888257768474
